iter	Logloss
0	0.5627020574
1	0.4652847829
2	0.3931842577
3	0.3428567563
4	0.3060922352
5	0.2798676076
6	0.2596801245
7	0.2479261387
8	0.2365285855
9	0.2287739204
10	0.2205746706
11	0.2147571225
12	0.2098791762
13	0.2068346304
14	0.2031539897
15	0.2009538787
16	0.1982063668
17	0.1958768813
18	0.1941541036
19	0.1924585282
20	0.1911414982
21	0.1898737241
22	0.1886074319
23	0.1875292887
24	0.1866359497
25	0.1857826634
26	0.1848800028
27	0.1837969311
28	0.1831368209
29	0.1825327549
30	0.1820008822
31	0.181199349
32	0.1806436484
33	0.1801706556
34	0.1797417666
35	0.1792245022
36	0.1785401468
37	0.1780894244
38	0.1775875897
39	0.1770677427
40	0.1765834536
41	0.1760183329
42	0.1756767582
43	0.175329785
44	0.1748508516
45	0.1743884222
46	0.1740019385
47	0.1735167885
48	0.1729771584
49	0.172539927
50	0.1721065334
51	0.1717934621
52	0.1713572657
53	0.1709451076
54	0.1705147828
55	0.1700709998
56	0.169664723
57	0.1692650604
58	0.1689180445
59	0.1685936145
60	0.1682516553
61	0.1678359519
62	0.1674454563
63	0.1670806024
64	0.1667523774
65	0.1664706221
66	0.1662274902
67	0.16591181
68	0.1656804048
69	0.1654595631
70	0.1652223323
71	0.1649812079
72	0.1647856365
73	0.1645359332
74	0.1642964911
75	0.1639744827
76	0.1635126415
77	0.1631128408
78	0.1629237488
79	0.1626120016
80	0.162269934
81	0.1620268218
82	0.1616959978
83	0.161435018
84	0.1611282979
85	0.1608195375
86	0.160563818
87	0.1603019511
88	0.1600513376
89	0.1597658202
90	0.159554438
91	0.1593438476
92	0.1590232159
93	0.1586409708
94	0.1583111555
95	0.1579771017
96	0.1577138548
97	0.1574258073
98	0.1571671669
99	0.1568536652
