iter	Passed	Remaining
0	32	3199
1	64	3157
2	91	2969
3	104	2511
4	115	2193
5	127	2004
6	138	1845
7	148	1711
8	159	1612
9	170	1534
10	180	1458
11	191	1402
12	202	1354
13	212	1303
14	222	1263
15	233	1225
16	246	1201
17	260	1187
18	275	1172
19	290	1161
20	305	1149
21	319	1133
22	335	1122
23	345	1095
24	356	1069
25	367	1045
26	376	1018
27	387	996
28	398	976
29	407	951
30	418	930
31	429	913
32	443	900
33	456	886
34	475	883
35	504	896
36	555	945
37	568	927
38	582	911
39	591	887
40	603	868
41	614	849
42	626	831
43	636	810
44	650	795
45	666	782
46	681	768
47	696	754
48	711	740
49	726	726
50	741	712
51	753	695
52	765	678
53	776	661
54	785	643
55	796	626
56	807	609
57	817	591
58	827	575
59	838	559
60	848	542
61	862	528
62	877	515
63	892	502
64	908	488
65	922	475
66	937	461
67	953	448
68	963	433
69	974	417
70	985	402
71	994	386
72	1005	371
73	1014	356
74	1025	341
75	1036	327
76	1046	312
77	1057	298
78	1068	283
79	1077	269
80	1090	255
81	1102	241
82	1117	228
83	1131	215
84	1144	202
85	1159	188
86	1173	175
87	1189	162
88	1205	149
89	1216	135
90	1226	121
91	1237	107
92	1248	93
93	1258	80
94	1273	67
95	1284	53
96	1296	40
97	1309	26
98	1323	13
99	1337	0
